"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22806","Test 2","webkit","Mon Sep 02 04:00:29 PDT 2024","passed","Mon Sep 02 04:00:52 PDT 2024","Smoke Testing","group.spec.js","",""
"","22335","Test 1","webkit","Mon Sep 02 04:00:29 PDT 2024","passed","Mon Sep 02 04:00:51 PDT 2024","Smoke Testing","group.spec.js","",""
"","11192","Validate a Youtube Title","chromium","Mon Sep 02 04:28:30 PDT 2024","passed","Mon Sep 02 04:28:41 PDT 2024","","firsttest.spec.js","",""
"","9024","Test 1","Google Chrome","Mon Sep 02 04:00:54 PDT 2024","passed","Mon Sep 02 04:01:03 PDT 2024","Smoke Testing","group.spec.js","",""
"","21450","Test 3","webkit","Mon Sep 02 04:00:44 PDT 2024","passed","Mon Sep 02 04:01:05 PDT 2024","Sanity Testing","group.spec.js","",""
"","24650","Test 2","firefox","Mon Sep 02 04:01:05 PDT 2024","passed","Mon Sep 02 04:01:30 PDT 2024","Smoke Testing","group.spec.js","",""
"","8892","Test 2","Google Chrome","Mon Sep 02 04:00:55 PDT 2024","passed","Mon Sep 02 04:01:04 PDT 2024","Smoke Testing","group.spec.js","",""
"","8743","Test 3","chromium","Mon Sep 02 05:18:06 PDT 2024","passed","Mon Sep 02 05:18:14 PDT 2024","Sanity Testing","group.spec.js","",""
"","8902","Test 2","chromium","Mon Sep 02 05:18:06 PDT 2024","passed","Mon Sep 02 05:18:15 PDT 2024","Smoke Testing","group.spec.js","",""
"","10910","Test 1","Microsoft Edge","Mon Sep 02 04:00:44 PDT 2024","passed","Mon Sep 02 04:00:55 PDT 2024","Smoke Testing","group.spec.js","",""
"","7125","Test 3","Google Chrome","Mon Sep 02 04:01:00 PDT 2024","passed","Mon Sep 02 04:01:07 PDT 2024","Sanity Testing","group.spec.js","",""
"","10968","Test 2","Microsoft Edge","Mon Sep 02 04:00:44 PDT 2024","passed","Mon Sep 02 04:00:55 PDT 2024","Smoke Testing","group.spec.js","",""
"","17883","Test 1","firefox","Mon Sep 02 04:00:29 PDT 2024","passed","Mon Sep 02 04:00:47 PDT 2024","Smoke Testing","group.spec.js","",""
"","8803","Test 1","chromium","Mon Sep 02 05:18:06 PDT 2024","passed","Mon Sep 02 05:18:14 PDT 2024","Smoke Testing","group.spec.js","",""
"","25049","Test 3","firefox","Mon Sep 02 04:01:05 PDT 2024","passed","Mon Sep 02 04:01:30 PDT 2024","Sanity Testing","group.spec.js","",""
"","9255","Test 3","Microsoft Edge","Mon Sep 02 04:00:53 PDT 2024","passed","Mon Sep 02 04:01:03 PDT 2024","Sanity Testing","group.spec.js","",""
